key	value	number
female	67.4 years (2020 est.)	59
region	Dominica	60
total population	77.7 years	60
male	74.7 years	60
female	80.9 years (2020 est.)	60
region	Dominican Republic	61
total population	72 years	61
male	70.3 years	61
female	73.8 years (2020 est.)	61
region	Ecuador	62
total population	77.5 years	62
male	74.5 years	62
female	80.6 years (2020 est.)	62
region	Egypt	63
total population	73.7 years	63
male	72.3 years	63
female	75.3 years (2020 est.)	63
region	El Salvador	64
total population	74.8 years	64
male	71.3 years	64
female	78.6 years (2020 est.)	64
region	Equatorial Guinea	65
total population	65.7 years	65
male	64.4 years	65
female	66.9 years (2020 est.)	65
region	Eritrea	66
total population	66.2 years	66
male	63.6 years	66
female	68.8 years (2020 est.)	66
region	Estonia	67
total population	77.4 years	67
male	72.7 years	67
female	82.3 years (2020 est.)	67
region	Eswatini	68
total population	58.6 years	68
male	56.5 years	68
female	60.7 years (2020 est.)	68
region	Ethiopia	69
total population	67.5 years	69
male	65.5 years	69
female	69.7 years (2020 est.)	69
region	European Union	70
total population	80.9 years	70
male	78 years	70
female	83.9 years (2020 est.)	70
region	Falkland Islands (Islas Malvinas)	71
total population	77.9 (2017 est.)	71
male	75.6	71
female	79.6	71
region	Faroe Islands	72
total population	80.8 years	72
male	78.3 years	72
female	83.6 years (2020 est.)	72
region	Fiji	73
total population	73.7 years	73
male	71 years	73
female	76.6 years (2020 est.)	73
region	Finland	74
total population	81.3 years	74
male	78.4 years	74
female	84.4 years (2020 est.)	74
region	France	75
total population	82.2 years	75
male	79.1 years	75
female	85.4 years (2020 est.)	75
region	French Polynesia	76
total population	77.9 years	76
male	75.6 years	76
female	80.4 years (2020 est.)	76
region	Gabon	77
total population	69 years	77
male	67.3 years	77
female	70.8 years (2020 est.)	77
region	Gambia, The	78
total population	65.8 years	78
male	63.5 years	78
female	68.3 years (2020 est.)	78
region	Gaza Strip	79
total population	74.9 years	79
male	73.1 years	79
female	76.7 years (2020 est.)	79
region	Georgia	80
total population	77 years	80
male	72.9 years	80
female	81.3 years (2020 est.)	80
region	Germany	81
total population	81.1 years	81
male	78.7 years	81
female	83.6 years (2020 est.)	81
region	Ghana	82
total population	68.2 years	82
male	65.6 years	82
female	70.8 years (2020 est.)	82
region	Gibraltar	83
total population	80 years	83
male	77.1 years	83
female	83 years (2020 est.)	83
region	Greece	84
total population	81.1 years	84
male	78.5 years	84
female	83.8 years (2020 est.)	84
region	Greenland	85
total population	73.4 years	85
male	70.7 years	85
female	76.3 years (2020 est.)	85
region	Grenada	86
total population	75.2 years	86
male	72.6 years	86
female	78.1 years (2020 est.)	86
region	Guam	87
total population	77 years	87
male	74.6 years	87
female	79.6 years (2020 est.)	87
region	Guatemala	88
total population	72.4 years	88
male	70.3 years	88
female	74.5 years (2020 est.)	88
region	Guernsey	89
total population	82.8 years	89
male	80.1 years	89
female	85.7 years (2020 est.)	89
region	Guinea	90
total population	63.2 years	90
male	61.3 years	90
female	65 years (2020 est.)	90
region	Guinea-Bissau	91
total population	62.8 years	91
male	60.6 years	91
female	65.1 years (2020 est.)	91
region	Guyana	92
total population	69.5 years	92
male	66.5 years	92
female	72.6 years (2020 est.)	92
region	Haiti	93
total population	65.3 years	93
male	62.6 years	93
female	68 years (2020 est.)	93
region	Honduras	94
total population	74.6 years	94
male	71.1 years	94
female	78.3 years (2020 est.)	94
region	Hong Kong	95
total population	83.2 years	95
male	80.5 years	95
female	86.1 years (2020 est.)	95
region	Hungary	96
total population	76.7 years	96
male	73 years	96
female	80.6 years (2020 est.)	96
region	Iceland	97
total population	83.3 years	97
male	81 years	97
female	85.6 years (2020 est.)	97
region	India	98
total population	69.7 years	98
male	68.4 years	98
female	71.2 years (2020 est.)	98
region	Indonesia	99
total population	73.7 years	99
male	71.1 years	99
female	76.5 years (2020 est.)	99
region	Iran	100
total population	74.5 years	100
male	73.1 years	100
female	76 years (2020 est.)	100
region	Iraq	101
total population	72.6 years	101
male	70.7 years	101
female	74.6 years (2020 est.)	101
region	Ireland	102
total population	81.2 years	102
male	78.9 years	102
female	83.7 years (2020 est.)	102
region	Isle of Man	103
total population	81.6 years	103
male	79.8 years	103
female	83.6 years (2020 est.)	103
region	Israel	104
total population	83 years	104
male	81.1 years	104
female	85 years (2020 est.)	104
region	Italy	105
total population	82.5 years	105
male	79.8 years	105
female	85.3 years (2020 est.)	105
region	Jamaica	106
total population	75.2 years	106
male	73.4 years	106
female	77.1 years (2020 est.)	106
region	Japan	107
total population	86 years	107
male	82.7 years	107
female	89.5 years (2020 est.)	107
region	Jersey	108
total population	82.2 years	108
male	79.7 years	108
female	84.9 years (2020 est.)	108
region	Jordan	109
total population	75.5 years	109
male	74 years	109
female	77.1 years (2020 est.)	109
region	Kazakhstan	110
total population	72 years	110
male	66.8 years	110
female	76.8 years (2020 est.)	110
region	Kenya	111
total population	69 years	111
male	67.3 years	111
female	70.6 years (2020 est.)	111
region	Kiribati	112
total population	67.5 years	112
male	65 years	112
female	70.2 years (2020 est.)	112
region	Korea, North	113
total population	71.6 years	113
male	67.7 years	113
female	75.6 years (2020 est.)	113
region	Korea, South	114
total population	82.6 years	114
male	79.4 years	114
female	85.9 years (2020 est.)	114
region	Kosovo	115
total population	72.7 years	115
male	70.5 years	115
female	75.1 years (2020 est.)	115
region	Kuwait	116
total population	78.6 years	116
male	77.2 years	116
female	80.2 years (2020 est.)	116
region	Kyrgyzstan	117
total population	71.8 years	117
male	67.7 years	117
female	76.2 years (2020 est.)	117
region	Laos	118
total population	65.7 years	118
male	63.6 years	118
female	67.9 years (2020 est.)	118
region	Latvia	119
total population	75.4 years	119
male	70.9 years	119
female	80.1 years (2020 est.)	119
region	Lebanon	120
total population	78.3 years	120
male	76.9 years	120
female	79.8 years (2020 est.)	120
region	Lesotho	121
total population	53 years	121
male	53.1 years	121
