Rank	Country	(deaths/1,000 population) 	Date of Information
155	Madagascar	6.2	2020 est.
156	Pakistan	6.2	2020 est.
157	Peru	6.2	2020 est.
158	Suriname	6.2	2020 est.
159	Cayman Islands	6.1	2020 est.
160	Rwanda	6.1	2020 est.
161	Turkey	6.1	2020 est.
162	Turkmenistan	6.1	2020 est.
163	Guam	6	2020 est.
164	Montserrat	6	2020 est.
165	Nauru	6	2020 est.
166	Philippines	6	2020 est.
167	Vietnam	6	2020 est.
168	American Samoa	5.9	2020 est.
169	Cabo Verde	5.9	2020 est.
170	El Salvador	5.9	2020 est.
171	Ethiopia	5.9	2020 est.
172	Gabon	5.9	2020 est.
173	New Caledonia	5.9	2020 est.
174	Antigua and Barbuda	5.8	2020 est.
175	Sint Maarten	5.8	2020 est.
176	Tajikistan	5.8	2020 est.
177	Nepal	5.7	2020 est.
178	Timor-Leste	5.7	2020 est.
179	Wallis and Futuna	5.7	2020 est.
180	Colombia	5.6	2020 est.
181	Yemen	5.6	2020 est.
182	Bangladesh	5.5	2020 est.
183	French Polynesia	5.5	2020 est.
184	British Virgin Islands	5.4	2020 est.
185	Lebanon	5.4	2020 est.
186	Mexico	5.4	2020 est.
187	Samoa	5.4	2020 est.
188	Uzbekistan	5.4	2020 est.
189	Iran	5.3	2020 est.
190	Israel	5.3	2020 est.
191	Malaysia	5.3	2020 est.
192	Northern Mariana Islands	5.3	2020 est.
193	Uganda	5.3	2020 est.
194	Ecuador	5.2	2020 est.
195	Kenya	5.2	2020 est.
196	Nicaragua	5.2	2020 est.
197	Panama	5.1	2020 est.
198	Costa Rica	4.9	2020 est.
199	Falkland Islands (Islas Malvinas)	4.9	2012 est.
200	Guatemala	4.9	2020 est.
201	Macau	4.9	2020 est.
202	Paraguay	4.9	2020 est.
203	Tonga	4.9	2020 est.
204	Anguilla	4.8	2020 est.
205	Honduras	4.7	2020 est.
206	Saint Martin	4.6	2020 est.
207	Syria	4.5	2020 est.
208	Algeria	4.4	2020 est.
209	Egypt	4.4	2020 est.
210	Marshall Islands	4.3	2020 est.
211	Micronesia, Federated States of	4.3	2020 est.
212	Belize	4.1	2020 est.
213	Maldives	4.1	2020 est.
214	Vanuatu	4	2020 est.
215	Iraq	3.9	2020 est.
216	Brunei	3.8	2020 est.
217	Solomon Islands	3.8	2020 est.
218	Singapore	3.6	2020 est.
219	Libya	3.5	2020 est.
220	Jordan	3.4	2020 est.
221	Saudi Arabia	3.4	2020 est.
222	Turks and Caicos Islands	3.4	2020 est.
223	West Bank	3.4	2020 est.
224	Oman	3.3	2020 est.
225	Gaza Strip	3	2020 est.
226	Bahrain	2.8	2020 est.
227	Kuwait	2.3	2020 est.
228	United Arab Emirates	2	2020 est.
229	Qatar	1.6	2020 est.
